Unnamed: 0,text,Sentiment
0,"@kompascom Dari sabang sampe merauke dah bnyk kasus bginian,, korban TOL, IKN, proyek, perkebunan,,   Ini Indonesia merdeka pa masih jmn VOC ireng?",Netral
1,"Nyetir tengah malem di IKN is another level of MEDENI CUK,Musuh e truck gede rawan nglondor""""",Netral
2,"framingnya mulai muncul. IKN jadi kata kunci. yang melaporkan majalah Time (dikutip kompasTV), narasumbernya sosiolog dari universitas kenamaan di Singapura, dan dari Australia.   keberhasilan media-media internasional ngangkat isu itu jika banyak media lokal kompak mengutipnya.",Netral
3,"IKN masih proyek guys, buat yg ASN santai-santai dulu ngehhehehe, fyi aja disini sudah ada fiber optic alias jaringan internet seru bgt gali gali bisa sambil wifian",Netral
4,@mkusumawijaya coba ty amdal ikn. dibuat sesuai aturan ato tidak.,Netral
5,"@BetaEpsilonPhi @PNS_Ababil tapi kalau dilihat dari pov lain, kayaknya terlalu banyak broker ya.  bahkan proyek yg sebesar ini tidak akan pernah dibatalkan meskipun tidak layak scr financial, mengingat banyak pejabat yg sudah beli tanah di sekitar IKN 🥲  GWS deh 🙏🏼",Netral
6,Meng IKN https://t.co/tlxMC9fK2x,Netral
7,@abcdefvcking14 Ke IKN,Netral
8,"@BetaEpsilonPhi @PNS_Ababil proyek IKN memang sangat tidak financially feasible si  jujur tujuan adanya IKN bagus, sangat bagus.",Netral
9,"@dapitnih @PineksoRoyi1 @mkusumawijaya Kan konteksnya itu.. suruh siapa bilang IKN itu akan green dan efisien.. tapi bangunannya aja boros""..!! 🤣🤣 hahaha.. Gak efisien, jejak karbonnya banyak..! Apalagi kalau ada sertifikat green profesional nyaa.. 🫣😁 hehehe .""",Negatif
10,@na_dirs @jokowi Apa dia masih punya kuping...,Netral
11,"@susipudjiastuti Urgen buat bgsa lapang pekerjaan, sembako terjangkau,  biaya pendidikan d kesehatan terjangkau intinya IKN tdk urgen bu",Netral
12,@na_dirs @jokowi Cuan untuk IKN bukan cepe atau dua cepe rupiah . Makanya ingin tetap berkuasa.,Netral
13,"IKN ga mau ngaso dulu apa, udh malem ini tang teng mulu. Nnti Ahla bangun",Netral
14,maka dapat di pastikan bahwa proyek IKN akan mangkrak,Netral
15,"Deket ama Om Ded Deket ama Arief Muhammad Deket ama Kaesang  Kalo Prabowo menang ya Weird Genius bakal banyak konser di kegiatan Institusi Negara, apalagi proyek IKN lagi seksi seksinya buat jd proyek gede, WG bisa jd band yg buatin lagu buat IKN mendunia",Negatif
16,"1. Sebenarnya PDIP tau bahwa Ganjar tidak akan menang pada pilpres 2024 maka dari itu agar proyek nya terus berjalan maka PDIP menyalonkan Gibran untuk maju menjadi wapres agar proyek nya terus berjalan SEPERTI IKN ,bayangkan saja jika Anies terpilih menjadi presiden maka -",Netral
17,"@venti_mericano Nak tergelak aku baca pun, konon diorang je la terpaling disiplin.    Dia ke arah nak ke zaman aku dulu"" tu pun kita dah boleh nampak dah red flag dia sebenarnya😂""",Netral
18,"@kompascom Mana mungkin ini terjadi di era presiden terbaik se dunia? Pasti beliau murni membuat IKN hanya untuk rakyat kecil, bukan investor.  Sebaiknya recheck.",Netral
19,@jokowi basi...narasix itu² aja tapi maksa IKN dilanjutken...🤣🤣🤣,Netral
20,"Yang ga diekspos Youtuber IKN pake drone, bacot sana sini demi Indonesia maju, bapak kau maju....",Netral
21,@susipudjiastuti klo ini mah bukan masalah serius.. yang jadi masalah serius itu jika warga terdampak IKN/PSN itu terjamin sandang pangan dan masa depannya.,Netral
22,@kompascom Pak @jokowi liat ni ulah bapak yang ngotot bangun IKN.,Netral
23,"Katanya IKN mau dibangun lebih baik dr Ibukota sekarang.  Tapi sot pencetusnya, yg terjadi adalah kebalikannya.  IKN bahkan sedini mungkin menggusur warga aslinya, ndak perlu nunggu jd “SCBD”. Inikah harapan/kebangggan planner2 NKRI?   https://t.co/6rKhCeimbC",Netral
24,@susipudjiastuti Demi IKN ngorbanin IDN,Netral
25,@kompascom Demi IKN ngorbanin IDN,Netral
26,"@Fahrihamzah Enak betul kau ngomong IKN jangan dibatalkan  ? kalau dg melanjutkan IKN mudharatnya lbh besar, sebaiknya dibatalkan.",Netral
27,@yunartowijaya Resiko salah memilih bidak catur untuk maju demi anak n ketakutan post power sindrome..  Ketakutan IKN JD Mega Hambalang.,Netral
28,@abu_waras Ikn dan kcici jelas harus dibubarkan karena terlalu memaksakan khayalan tingkat tinggi seorang tukang mebel...,Netral
29,Otorita IKN himpun dukungan internasional untuk pembangunan https://t.co/UtpbisMKpX,Netral
30,"Jika ibukota baru jadi pindah ke IKN, secara keamanan negara kita sangat rentan. Jika pusat militer pindah kesana, kalo ada serangan roket, orang Indonesia yg kebanyakan tinggal di pulau jawa hanya bisa menonton.",Netral
