video_id,author,comment,published_at
5ENLEY94u9M,@DiajengPrameswari-j3e,"Serasa kita diperas oleh mereka yang khususnya sudah menyetujui kesalahan kenaikan ppn ini yang baru sekedar di wacanakan .
Terasa ada keputusan dari akibat perang politik yang mengorbankan rakyat",1 menit yang lalu
5ENLEY94u9M,@gamingblazer3547,Konten Bagus untuk masyarakat Indonesia dan menjawab pikiran negatif masyarakat umum.,13 menit yang lalu
5ENLEY94u9M,@user-vr8ql,"Percuma kita protes juga ga bakalan digubris ✋
Bisa2 yang protes malah diusir dari indo oleh menteri debt collector",14 menit yang lalu
5ENLEY94u9M,@SoonyangProductions,Kelas menengah tumbuh matane dengan dengan Iki lur balur,14 menit yang lalu
5ENLEY94u9M,@agungindra1629,Pembawa acara nya harusnya jadi nara sumber😍,14 menit yang lalu
5ENLEY94u9M,@boobeeiboo241,"joget gemoy aja dlu bareng bareng, oke gas oke gas oke gas..... joget nya prabowo gemoy",18 menit yang lalu
5ENLEY94u9M,@PERMENIJO-qf8qs,"harga telor setahun yang lalu masih 26 rebu, sekarang udah 34 rebu njirrr.!!! / kg, gaji tetap nggak ada kenaikan.!!!, wkwkwk dagelan macam apa ini bro..??????????🤣, lama kelamaan makan nasi garem ini bro.!!!!!!!!!!!!😂😂",18 menit yang lalu
5ENLEY94u9M,@baronsinomba2796,Belum diberlakukan ppn 12%  bahan2 pokok uda naik 30 % sampai 40%...hadeeeeh😫,23 menit yang lalu
5ENLEY94u9M,@JackRoyal82,mau dibolak balik gimana juga masalahnya pasti balik lagi ke ketidakbecusan kerja pejabat dan pelaksananya. titik.,42 menit yang lalu
5ENLEY94u9M,@yohanesgprasetyo6905,Prof kalau melihat dari perspective kenaikan tarif ini untuk mengerem konsumerisme masyarakat. Dalam  artian bisa membuat masyarakat focus pada kebutuhan primer.,45 menit yang lalu
5ENLEY94u9M,@elissulistiyo2387,"Yang menyakiti hati rakyat adalah masyarakat diperas bayar pajak, sedangkan para pejabat kita menikmati fasilitas mewah yang sangat banyak, belum lagi korupsi yang merajalela dan saat tertangkap pun hukuman yang di dapat sangat ringan",55 menit yang lalu
